type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.640700
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.659860
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.679618
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.699528
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.719818
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.739533
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.759839
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.779576
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.801673
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.822704
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.839541
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.864720
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.879521
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.898851
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.918894
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.939893
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.958961
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:42.985811
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.004717
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.019010
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.039807
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.059760
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.079853
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.101704
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.119770
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.139830
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.159332
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.182750
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.202828
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.219764
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.239373
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.258823
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.279585
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.301762
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:06:43.322813
